Drone Name,No.of Rotors,Price($),Max Flight Time(min),Operating Range(m),Wingspan(mm),Weight(g),Body Material,Rotor Material,Payload Capacity(g),Max Speed (m/s),Max Flying Altitude (m),Ready to Fly,Bind and Fly,GPS Compatible,Altitude Hold,Position Hold,Flight Planning,Autonomous Flight,Follow me Capable,Automatic Landing,Return to Home,Collision Avoidance,Headless Mode,External Camera Compatible,Inbuilt Camera,Camera Resolution(MP),Video Resolution,Stabilization axis,VR Headset Compatible,Live View,Frequency (GHz),Live View Speed (Frames/sec),Operating Range (m),Frequency(GHz),Battery (mAh),Battery (mAh),Weight(g)
Ehang 184,8,300000,23,,3401,200000,Carbon Fiber,Carbon Fiber,99790,28,3500,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,no,yes,No,Yes,,,,,NO,,,,,,,,
XactSense Titan,8,120000,30,16095,1300,8165,Carbon Fiber,Carbon Fiber,22680,,55,Yes,No,Yes,No,Yes,Yes,Yes,No,no,Yes,No,No,Yes,,,,,NO,,,,16095,2.4,,,
XactSense MAX 8,8,65000,25,,1219,2268,Carbon Fiber,Carbon Fiber,9072,,121,Yes,No,Yes,No,no,Yes,no,No,no,no,No,no,Yes,,,,,NO,,,,,2.4,,32000,
AEE F100,4,58000,70,10000,2190,6000,Carbon Fiber,Carbon Fiber,2500,27.7,1500,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,,Yes,16,1080p,2,NO,Yes,,60,10000,2.4,,3500,
AEE F50,4,37000,40,20000,,2000,Carbon Fiber,Carbon Fiber,,5,900,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,,Yes,16,1080p,,NO,Yes,,30,20000,,,3500,
Sci.Aero cyberQuad,4,37000,25,500,850,1700,Plastic,Plastic,800,16.6,,Yes,No,Yes,Yes,Yes,Yes,Yes,No,no,Yes,No,No,Yes,,,,,NO,,,,500,,,,
Service-Drone MULTIROTOR G4 Eagle V2 Cargo,8,35360,30,2000,889,2500,Carbon Fiber,Carbon Fiber,2500,16.6,,Yes,No,Yes,Yes,Yes,Yes,Yes,No,no,Yes,No,No,Yes,,,,,NO,,,,2000,2.4,,2200,
Service-Drone MULTIROTOR G4 Eagle V2 + FREEFLY MoVI M5,8,33940,10,1000,880,4500,Carbon Fiber,Carbon Fiber,2000,16,,Yes,No,Yes,Yes,Yes,Yes,no,No,Yes,Yes,No,No,Yes,,,,,NO,,,,1000,2.4,,,
Service-Drone MULTIROTOR G4 Eagle V2 ,8,28260,30,2000,880,2500,Carbon Fiber,Carbon Fiber,2500,16.6,,Yes,No,Yes,Yes,Yes,Yes,no,No,Yes,Yes,No,No,Yes,,,,2,NO,,5.8,,2000,2.4,,,
Service-Drone MULTIROTOR G4 Surveying Robot,6,25420,20,,850,2700,Carbon Fiber,Carbon Fiber,2300,8.3,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,,,,,NO,,,,3000,2.4,,3200,
